img_entrenamiento,validacion,preprocesamiento,inpaint,RGB_gray,arquitectura,capas,filtros,neuronas,test,Acc,Bal_acc,F_score,Kappa,AUC,Tiempo(mins)
OCT,No,No,No,RGB,Alqudah,6,0.5,128/256,iphone,0.3333333333333333,0.16486013986013986,0.2890218428820809,-0.05813765182186237,0.5042645016482226,3.6927828907966616
OCT,No,No,No,RGB,Mobeen,2,0.5,100/50,Samsung,0.34408602150537637,0.20885106382978721,0.3422337304097266,0.01783240997229918,0.5462174184910648,7.329638735453288
OCT,No,No,No,RGB,Alqudah,6,0.5,128/256,Samsung,0.2903225806451613,0.11863829787234044,0.25914212757982524,-0.12561892536218577,0.3618246450661544,3.6927828907966616
OCT,No,No,No,RGB,Ghosh,6,2.0,512/256/128,iphone,0.48484848484848486,0.2,0.3166357452071738,0.0,0.5501410482041,9.179991964499155
OCT,No,No,No,RGB,Ghosh,6,2.0,512/256/128,Samsung,0.5053763440860215,0.2,0.3393241167434715,0.0,0.5235959531894705,9.179991964499155
OCT,No,No,No,RGB,Ghosh,9,1.0,256/1024/512,iphone,0.48484848484848486,0.2,0.3166357452071738,0.0,0.5389592763286956,4.549341324965159
OCT,No,No,No,RGB,Ghosh,9,1.0,256/1024/512,Samsung,0.5053763440860215,0.2,0.3393241167434715,0.0,0.4254006445237297,4.549341324965159
OCT,No,No,No,RGB,Ghosh,9,1.0,128/512/256,iphone,0.48484848484848486,0.2,0.3166357452071738,0.0,0.5292023132528045,4.555690582593282
OCT,No,No,No,RGB,Ghosh,9,1.0,128/512/256,Samsung,0.5053763440860215,0.2,0.3393241167434715,0.0,0.44939812961444725,4.555690582593282
OCT,No,No,No,RGB,Alqudah,6,2.0,0/0,iphone,0.16161616161616163,0.22636946386946386,0.12854709560591915,0.032383419689119064,0.4961807013199874,10.210176543394725
OCT,No,No,No,RGB,Alqudah,6,2.0,0/0,Samsung,0.34408602150537637,0.21710638297872342,0.34879741805738007,0.041722972972973005,0.4535092313914819,10.210176543394725
OCT,No,No,No,RGB,Mobeen,2,0.5,256/128,iphone,0.29292929292929293,0.2215909090909091,0.2704530974573169,0.006451612903225823,0.4943288245629372,13.87155757745107
OCT,No,No,No,RGB,Mobeen,2,0.5,256/128,Samsung,0.3655913978494624,0.23531914893617026,0.3155893735338597,0.04871705963938988,0.5977276672305567,13.87155757745107
OCT,No,No,No,RGB,Ghosh,9,1.0,64/256/128,iphone,0.48484848484848486,0.2,0.3166357452071738,0.0,0.42058380515972854,4.538310146331787
OCT,No,No,No,RGB,Ghosh,9,1.0,64/256/128,Samsung,0.5053763440860215,0.2,0.3393241167434715,0.0,0.538411313712228,4.538310146331787
OCT,No,No,No,RGB,Ghosh,9,1.0,128/256/512,iphone,0.48484848484848486,0.2,0.3166357452071738,0.0,0.4952359186502949,4.591336500644684
OCT,No,No,No,RGB,Ghosh,9,1.0,128/256/512,Samsung,0.5053763440860215,0.2,0.3393241167434715,0.0,0.4886379133189013,4.591336500644684
OCT,No,No,No,RGB,Mobeen,2,0.5,128/64,iphone,0.40404040404040403,0.1875,0.3089225589225588,-0.03655723158828739,0.4961154325023869,8.746721331278483
OCT,No,No,No,RGB,Mobeen,2,0.5,128/64,Samsung,0.40860215053763443,0.1654468085106383,0.33973829942468936,0.0075669383003491575,0.5628905975452041,8.746721331278483
OCT,No,No,No,RGB,Ghosh,9,1.0,512/256/128,iphone,0.48484848484848486,0.2,0.3166357452071738,0.0,0.4720379036804233,4.547922317186991
OCT,No,No,No,RGB,Ghosh,9,1.0,512/256/128,Samsung,0.5053763440860215,0.2,0.3393241167434715,0.0,0.4526158908510135,4.547922317186991
OCT,No,No,No,RGB,Alqudah,6,2.0,512/256,iphone,0.10101010101010101,0.13484848484848486,0.10028366080210549,-0.04705882352941182,0.4896318863914623,14.130252703030903
OCT,No,No,No,RGB,Alqudah,6,2.0,512/256,Samsung,0.3333333333333333,0.22936170212765958,0.35321576985004893,0.07994255624700819,0.5080570200993966,14.130252703030903
OCT,No,No,No,RGB,Ghosh,9,0.5,256/1024/512,iphone,0.48484848484848486,0.2,0.3166357452071738,0.0,0.5505985223029123,3.8067245364189146
OCT,No,No,No,RGB,Ghosh,9,0.5,256/1024/512,Samsung,0.5053763440860215,0.2,0.3393241167434715,0.0,0.4952530227934947,3.8067245364189146
OCT,No,No,No,RGB,Mobeen,2,0.5,64/32,iphone,0.2828282828282828,0.189481351981352,0.30168465724021276,0.010975094976783395,0.5052057199698974,6.126916126410166
OCT,No,No,No,RGB,Mobeen,2,0.5,64/32,Samsung,0.23655913978494625,0.25435866261398177,0.23516304484046419,0.038304689775706335,0.5563278629348365,6.126916126410166
OCT,No,No,No,RGB,Ghosh,9,0.5,128/512/256,iphone,0.48484848484848486,0.2,0.3166357452071738,0.0,0.5247230988276878,3.7547292192776998
OCT,No,No,No,RGB,Ghosh,9,0.5,128/512/256,Samsung,0.5053763440860215,0.2,0.3393241167434715,0.0,0.5383643827531406,3.7547292192776998
OCT,No,No,No,RGB,Mobeen,2,0.5,32/64,iphone,0.2222222222222222,0.14364801864801863,0.2249186249186249,-0.08791208791208804,0.4686182597543125,4.700969008604686
OCT,No,No,No,RGB,Mobeen,2,0.5,32/64,Samsung,0.27956989247311825,0.20506382978723403,0.28332881539712657,0.033653846153846256,0.5233520021286339,4.700969008604686
OCT,No,No,No,RGB,Alqudah,6,2.0,128/64,iphone,0.16161616161616163,0.20667249417249417,0.15336531722061902,-0.006861904178409262,0.5111202673088633,11.128969260056813
OCT,No,No,No,RGB,Ghosh,9,0.5,64/256/128,iphone,0.48484848484848486,0.2,0.3166357452071738,0.0,0.5352156835274606,3.771281985441844
OCT,No,No,No,RGB,Alqudah,6,2.0,128/64,Samsung,0.34408602150537637,0.279677811550152,0.3851562987458664,0.10464015151515149,0.5682897959758815,11.128969260056813
OCT,No,No,No,RGB,Ghosh,9,0.5,64/256/128,Samsung,0.5053763440860215,0.2,0.3393241167434715,0.0,0.5791730419621768,3.771281985441844
OCT,No,No,No,RGB,Ghosh,9,0.5,128/256/512,iphone,0.48484848484848486,0.2,0.3166357452071738,0.0,0.5518647899586215,3.885158173243205
